Scenario	Replication	[PersonLeaves].ReleaseTime / 1[h]	
1	1	0.6345967783333333	
1	2	0.6545604838888889	
1	3	0.6449154658333333	
1	4	0.6643612236111112	
1	5	0.6569575169444444	
1	6	0.6718652488888889	
1	7	0.658677806111111	
1	8	0.6607904516666666	
1	9	0.6595130469444443	
1	10	0.6334486508333332	
1		0.6539686673055555	0.008970162851809101
