Simulation	SoftwareName	JaamSim	-
Simulation	SoftwareVersion	2022-07	-
Simulation	ConfigurationFile	C:\Users\dcla189\OneDrive - The University of Auckland\2023 Sem2\2023.2\355JaamSim\group\complete_model.cfg	-
Simulation	ScenarioNumber	1.0	-
Simulation	ScenarioIndex	{ 1 }	-
Simulation	ReplicationNumber	1.0	-
Simulation	RunNumber	1.0	-
Simulation	RunIndex	{ 1 }	-
Simulation	PresentTimeAndDate	Oct 18, 2023 12:12	-
Simulation	InitializationDuration	168.0	h
Simulation	RunDuration	504.0	h
Simulation	PresentSimulationTime	0.0	h

this.SimTime/1[h]	Scenario	Replication	this.obj	Event	EventTime
0.0	1	1	Orderly1	PatientTransit.wait-task-orderly	0.0
2.777777777777778E-4	1	1	Orderly2	PatientTransit.wait-task-orderly	2.777777777777778E-4
5.555555555555556E-4	1	1	Orderly3	PatientTransit.wait-task-orderly	5.555555555555556E-4
8.333333333333334E-4	1	1	Orderly4	PatientTransit.wait-task-orderly	8.333333333333334E-4
0.0011111111111111111	1	1	Orderly5	PatientTransit.wait-task-orderly	0.0011111111111111111
0.001388888888888889	1	1	Orderly6	PatientTransit.wait-task-orderly	0.001388888888888889
2.1018797244444443	1	1	Orderly1	PatientTransit.orderly-travel-to-patient	0.9132727647222222
2.1018797244444443	1	1	Orderly1	PatientTransit.pickup	0.9445220902777778
2.1018797244444443	1	1	Orderly1	PatientTransit.travel-to-destination	1.009453737222222
2.1018797244444443	1	1	Orderly1	PatientTransit.dropoff	1.2890095613888888
2.1018797244444443	1	1	Orderly1	PatientTransit.wait-at-dropoff	1.47934664
2.1018797244444443	1	1	Orderly1	PatientTransit.travel-to-base	1.8126799733333332
2.1018797244444443	1	1	Orderly1	PatientTransit.wait-task-orderly	2.1018797244444443
2.469148073888889	1	1	Orderly6	PatientTransit.orderly-travel-to-patient	1.720994686388889
2.469148073888889	1	1	Orderly6	PatientTransit.pickup	1.731994249722222
2.469148073888889	1	1	Orderly6	PatientTransit.travel-to-destination	1.7534361058333332
2.469148073888889	1	1	Orderly6	PatientTransit.dropoff	2.0318767538888887
2.469148073888889	1	1	Orderly6	PatientTransit.wait-at-dropoff	2.102705568333333
2.469148073888889	1	1	Orderly6	PatientTransit.travel-to-base	2.4360389016666666
2.469148073888889	1	1	Orderly6	PatientTransit.wait-task-orderly	2.469148073888889
2.9141626077777776	1	1	Orderly5	PatientTransit.orderly-travel-to-patient	1.6708368261111108
