adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/pXnNSeyTCUebjpHTiZt7v6FZId0.jpg,,1894,en,Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot that could change the galaxy forever.",31.317,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,2002-05-15,Star Wars: Episode II - Attack of the Clones,FALSE,6.6,12127
FALSE,/jw88BtmMliB1Mbwf3JyfYszS4Xk.jpg,,2675,en,Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,30.328,/hyZkNEbNgnciUVTyu4NZTjlCh4L.jpg,2002-08-02,Signs,FALSE,6.7,5046
FALSE,/19AqfWi8S99tDmp7hskCeDQuwLU.jpg,,75612,en,Oblivion,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",29.831,/eO3r38fwnhb58M1YgcjQBd3VNcp.jpg,2013-04-10,Oblivion,FALSE,6.6,9908
FALSE,/6ms6RdNcQUAnjBY26aM85xC2wV0.jpg,,7191,en,Cloverfield,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",31.862,/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,2008-01-15,Cloverfield,FALSE,6.7,6443
FALSE,/bW2R6PejAFk6FVCyLmTsgn8ETqZ.jpg,,634429,ja,シン・ウルトラマン,"The Japanese government sets up a special task force to fight the giant creatures suddenly appearing across the country. Soon, the squad unexpectedly meets a giant silver humanoid who starts appearing every time a space monster attacks!",34.013,/9bU8K4rdRhM03tAVW0MNXTx5kFQ.jpg,2022-05-13,Shin Ultraman,FALSE,7.2,88
FALSE,/buspsNeIGOAznaYQsnGDmQLZakW.jpg,,44943,en,Battle: Los Angeles,"When once distant UFOs become a terrifying threat attacking Earth, a Marine staff sergeant and his team take it upon themselves to face the enemy and protect what remains of the planet.",38.944,/jloyGeVYZSxM9zsLFvVOWuj2ey4.jpg,2011-03-08,Battle: Los Angeles,FALSE,5.7,3151
FALSE,/xIoWDHSA2ymOewcCpoUID4PpDb3.jpg,,2300,en,Space Jam,"Get a laugh-loaded glimpse of the future as it's never looked before! See two of the world's greatest legends collide in a brand-new universe! When basketball megastar Michael Jordan teams up with animated icon Bugs Bunny--get ready for Space Jam! Charles Barkley, Patrick Ewing, Daffy Duck, Porky Pig--and many more. The National Basketball Association meets Warner Bros.' Looney Tunes--with Jordan as a live-action hero entering a spectacular animated world. Captured by Bugs Bunny to foil a ghastly gang of space creatures, Jordan must play the basketball game of his life to save the beloved cartoon heroes from a hideous kidnapping scheme. Will Jordan beat the odds and get his Looney new pals out of a real jam? Fasten your seat belts and enter a whole new dimension in entertainment in the wildest, wackiest comic fantasy ever.",33.772,/rjr6VuZoqEwJRmYxUnjbp1Skhg9.jpg,1996-11-15,Space Jam,FALSE,6.8,5541
FALSE,/c4L5nFbs72Cfe4Q4hF0T99USa1I.jpg,,15137,ja,ヱヴァンゲリヲン新劇場版：序,"After the Second Impact, Tokyo-3 is being attacked by giant monsters called Angels that seek to eradicate humankind. The child Shinji's objective is to fight the Angels by piloting one of the mysterious Evangelion mecha units. A remake of the first six episodes of GAINAX's famous 1996 anime series. The film was retitled ""Evangelion: 1.01"" for its home video version and ""Evangelion: 1.11"" for a release with additional scenes.",31.876,/pETU4GurpeEjBOM8oytMH0yNBHx.jpg,2007-09-01,Evangelion: 1.0 You Are (Not) Alone,FALSE,7.7,802
FALSE,/oUvmiw8ow04fnkQMmxNZGj9PzM7.jpg,,39513,en,Paul,"For the past 60 years, a space-traveling smart-ass named Paul has been locked up in a top-secret military base, advising world leaders about his kind. But when he worries he’s outlived his usefulness and the dissection table is drawing uncomfortably close, Paul escapes on the first RV that passes by his compound in Area 51. Fortunately, it contains the two earthlings who are most likely to rescue and harbor an alien on the run.",43.526,/ijTJf6evpPF0DgGMgiUFxbDgnJh.jpg,2011-02-14,Paul,FALSE,6.7,5228
FALSE,/naGU49u4BXynQ1o5L755pfs8dom.jpg,,87421,en,Riddick,"Betrayed by his own kind and left for dead on a desolate planet, Riddick fights for survival against alien predators and becomes more powerful and dangerous than ever before. Soon bounty hunters from throughout the galaxy descend on Riddick only to find themselves pawns in his greater scheme for revenge. With his enemies right where he wants them, Riddick unleashes a vicious attack of vengeance before returning to his home planet of Furya to save it from destruction.",30.019,/hfkZacQIrFjrpgKZoWZ94ifWRSq.jpg,2013-09-02,Riddick,FALSE,6.3,3734
